Mission,Sat. ver.,COSPAR ID,Deployed sats
Tintin,v0.1,2018-020,2
v0.9,v0.9,2019-029,60
Launch 1,v1,2019-074,60
Launch 2,v1,2020-001,60
Launch 3,v1,2020-006,60
Launch 4,v1,2020-012,60
Launch 5,v1,2020-019,60
Launch 6,v1,2020-025,60
Launch 7,v1,2020-035,60
Launch 8,v1,2020-038,58
Launch 9,v1,2020-055,57
Launch 10,v1,2020-057,58
Launch 11,v1,2020-062,60
Launch 12,v1,2020-070,60
Launch 13,v1,2020-073,60
Launch 14,v1,2020-074,60
Launch 15,v1,2020-088,60
Launch 16,v1,2021-005,60
Tr-1,v1,2021-006,10
Launch 18,v1,2021-009,60
Launch 19,v1,2021-012,60
Launch 17,v1,2021-017,60
Launch 20,v1,2021-018,60
Launch 21,v1,2021-021,60
Launch 22,v1,2021-024,60
Launch 23,v1,2021-027,60
Launch 24,v1,2021-036,60
Launch 25,v1,2021-038,60
Launch 27,v1,2021-040,60
Launch 26,v1,2021-041,52
Launch 28,v1,2021-044,60
Tr-2,v1.5,2021-059,3
Group 2-1,v1.5,2021-082,51
Group 4-1,v1.5,2021-104,53
Group 4-3,v1.5,2021-115,48
Group 4-4,v1.5,2021-125,52
Group 4-5,v1.5,2022-001,49
Group 4-6,v1.5,2022-005,49
Group 4-7,v1.5,2022-010,49
Group 4-8,v1.5,2022-016,46
Group 4-11,v1.5,2022-017,50
Group 4-9,v1.5,2022-022,47
Group 4-10,v1.5,2022-025,48
Group 4-12,v1.5,2022-029,53
Group 4-14,v1.5,2022-041,53
Group 4-16,v1.5,2022-045,53
Group 4-17,v1.5,2022-049,53
Group 4-13,v1.5,2022-051,53
Group 4-15,v1.5,2022-052,53
Group 4-18,v1.5,2022-053,53
Group 4-19,v1.5,2022-062,53
Group 4-21,v1.5,2022-076,53
Group 3-1,v1.5,2022-077,46
Group 4-22,v1.5,2022-083,53
Group 3-2,v1.5,2022-084,46
Group 4-25,v1.5,2022-086,53
Group 4-26,v1.5,2022-097,52
Group 3-3,v1.5,2022-099,46
Group 4-27,v1.5,2022-101,53
Group 4-23,v1.5,2022-104,54
Group 3-4,v1.5,2022-105,46
Group 4-20,v1.5,2022-107,51
Group 4-2,v1.5,2022-111,34
Group 4-34,v1.5,2022-114,54
Group 4-35,v1.5,2022-119,52
Group 4-29,v1.5,2022-125,52
Group 4-36,v1.5,2022-136,54
Group 4-31,v1.5,2022-141,53
Group 4-37,v1.5,2022-175,54
Group 5-1,v1.5,2022-177,54
Group 2-4,v1.5,2023-010,51
Group 5-2,v1.5,2023-013,56
Group 2-6,v1.5,2023-014,49
Group 5-3,v1.5,2023-015,53
Group 5-4,v1.5,2023-020,55
Group 2-5,v1.5,2023-021,51
Group 6-1,v2 mini,2023-026,21
Group 2-7,v1.5,2023-028,51
Group 2-8,v1.5,2023-037,52
Group 5-5,v1.5,2023-042,56
Group 5-10,v1.5,2023-046,56
Group 6-2,v2 mini,2023-056,21
Group 3-5,v1.5,2023-058,46
Group 5-6,v1.5,2023-061,56
Group 2-9,v1.5,2023-064,51
Group 5-9,v1.5,2023-065,56
Group 6-3,v2 mini,2023-067,22
Group 2-10,v1.5,2023-078,52
Group 6-4,v2 mini,2023-079,22
Group 5-11,v1.5,2023-083,52
Group 5-7,v1.5,2023-088,47
Group 5-12,v1.5,2023-090,56
Group 5-13,v1.5,2023-094,48
Group 6-5,v2 mini,2023-096,22
Group 5-15,v1.5,2023-099,54
Group 6-15,v2 mini,2023-102,15
Group 6-6,v2 mini,2023-105,22
Group 6-7,v2 mini,2023-107,22
Group 6-8,v2 mini,2023-113,22
Group 6-20,v2 mini,2023-115,15
Group 6-9,v2 mini,2023-119,22
Group 6-10,v2 mini,2023-122,22
Group 7-1,v2 mini,2023-124,21
Group 6-11,v2 mini,2023-129,22
Group 6-13,v2 mini,2023-131,22
Group 6-12,v2 mini,2023-134,21
Group 6-14,v2 mini,2023-138,22
Group 7-2,v2 mini,2023-141,21
Group 6-16,v2 mini,2023-144,22
Group 6-17,v2 mini,2023-146,22
Group 6-18,v2 mini,2023-147,22
Group 7-3,v2 mini,2023-148,21
Group 6-19,v2 mini,2023-151,22
Group 6-21,v2 mini,2023-153,22
Group 7-4,v2 mini,2023-156,21
Group 6-22,v2 mini,2023-158,22
Group 6-23,v2 mini,2023-160,22
Group 7-5,v2 mini,2023-161,21
Group 6-24,v2 mini,2023-162,23
Group 7-6,v2 mini,2023-166,22
Group 6-25,v2 mini,2023-167,23
Group 6-26,v2 mini,2023-170,23
Group 6-27,v2 mini,2023-171,23
Group 6-28,v2 mini,2023-177,23
Group 7-7,v2 mini,2023-178,22
Group 6-29,v2 mini,2023-180,23
Group 6-30,v2 mini,2023-183,23
Group 6-31,v2 mini,2023-186,23
Group 6-33,v2 mini,2023-191,23
Group 7-8,v2 mini,2023-192,22
Group 6-34,v2 mini,2023-200,23
Group 6-32,v2 mini,2023-203,22
Group 6-36,v2 mini,2023-211,23
Group 7-9,v2 mini,2024-002,21
Group 6-35,v2 mini,2024-005,23
Group 7-10,v2 mini,2024-011,22
Group 6-37,v2 mini,2024-012,23
Group 7-11,v2 mini,2024-017,22
Group 6-38,v2 mini,2024-019,23
Group 7-12,v2 mini,2024-020,22
Group 7-13,v2 mini,2024-027,22
Group 7-14,v2 mini,2024-031,22
Group 7-15,v2 mini,2024-036,22
Group 6-39,v2 mini,2024-038,24
Group 6-40,v2 mini,2024-041,23
Group 6-41,v2 mini,2024-044,23
Group 6-43,v2 mini,2024-045,23
Group 7-17,v2 mini,2024-046,23
Group 6-44,v2 mini,2024-049,23
Group 7-16,v2 mini,2024-050,20
Group 6-42,v2 mini,2024-056,23
Group 6-46,v2 mini,2024-057,23
Group 6-45,v2 mini,2024-060,23
Group 7-18,v2 mini,2024-062,22
Group 6-47,v2 mini,2024-064,23
Group 8-1,v2 mini,2024-065,21
Group 6-48,v2 mini,2024-068,23
Group 6-49,v2 mini,2024-071,23
Group 6-51,v2 mini,2024-073,23
Group 6-52,v2 mini,2024-074,23
Group 6-53,v2 mini,2024-076,23
Group 6-54,v2 mini,2024-080,23
Group 6-55,v2 mini,2024-082,23
Group 6-57,v2 mini,2024-084,23
Group 6-56,v2 mini,2024-086,23
Group 8-2,v2 mini,2024-088,20
Group 6-58,v2 mini,2024-090,23
Group 8-7,v2 mini,2024-091,20
Group 6-59,v2 mini,2024-093,23
Group 6-62,v2 mini,2024-097,23
Group 6-63,v2 mini,2024-098,23
Group 6-60,v2 mini,2024-100,23
Group 6-64,v2 mini,2024-106,23
